150245,199685.23,,Sat Nov 03 2012 00:00:00 GMT+0000 (Western European Standard Time),Fri Dec 24 2010 00:00:00 GMT+0000 (Western European Standard Time),45234140-9, Construção de passagem de nível,Não aplicável,Artigo 19.º, alínea b) do Código dos Contratos Públicos,Empreitadas de obras públicas,Concurso público,Portugal, Porto, Baião,LINHA DO DOURO - SUPRESSÃO DE PN Km 68+018,,150 dias,Thu Feb 04 2021 11:49:56 GMT+0000 (Western European Standard Time)
158935,140000,,Sat Nov 03 2012 00:00:00 GMT+0000 (Western European Standard Time),Mon Nov 01 2010 00:00:00 GMT+0000 (Western European Standard Time),60130000-8, Serviços de transporte rodoviário de passageiros com finalidade específica,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de serviços,Concurso público,Portugal, Castelo Branco, Covilhã,Concurso público para adjudicação dos circuitos especiais de transporte escolar do concelho da Covilhã para o ano lectivo 2010/2011,,175 dias,Thu Feb 04 2021 12:01:20 GMT+0000 (Western European Standard Time)
123389,33500,,Sat Nov 03 2012 00:00:00 GMT+0000 (Western European Standard Time),Thu Jul 08 2010 00:00:00 GMT+0100 (Western European Summer Time),71000000-8, Serviços de arquitectura, construção, engenharia e inspecção,Não aplicável,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Lisboa, Mafra,Prestação de serviços,,45 dias,Thu Feb 04 2021 11:05:46 GMT+0000 (Western European Standard Time)
173528,3935,,Fri Nov 02 2012 00:00:00 GMT+0000 (Western European Standard Time),Thu Sep 02 2010 00:00:00 GMT+0100 (Western European Summer Time),45317000-2, Outras obras de instalação eléctrica,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,2 dias,Thu Feb 04 2021 12:22:24 GMT+0000 (Western European Standard Time)
173530,9998,,Fri Nov 02 2012 00:00:00 GMT+0000 (Western European Standard Time),Sat Oct 16 2010 00:00:00 GMT+0100 (Western European Summer Time),45300000-0, Instalações em edifícios,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,15 dias,Thu Feb 04 2021 12:22:24 GMT+0000 (Western European Standard Time)
179992,4100,,Fri Nov 02 2012 00:00:00 GMT+0000 (Western European Standard Time),Wed Oct 20 2010 00:00:00 GMT+0100 (Western European Summer Time),45421144-5, Instalação de toldos,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Cascais,empreitada de obras publicas,,7 dias,Thu Feb 04 2021 12:32:36 GMT+0000 (Western European Standard Time)
173529,4476,,Fri Nov 02 2012 00:00:00 GMT+0000 (Western European Standard Time),Thu Sep 02 2010 00:00:00 GMT+0100 (Western European Summer Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,30 dias,Thu Feb 04 2021 12:22:24 GMT+0000 (Western European Standard Time)
173527,3770,,Fri Nov 02 2012 00:00:00 GMT+0000 (Western European Standard Time),Fri Sep 10 2010 00:00:00 GMT+0100 (Western European Summer Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,10 dias,Thu Feb 04 2021 12:22:24 GMT+0000 (Western European Standard Time)
173531,7659,,Fri Nov 02 2012 00:00:00 GMT+0000 (Western European Standard Time),Thu Sep 02 2010 00:00:00 GMT+0100 (Western European Summer Time),50312300-8, Manutenção e reparação de equipamento para redes de dados,Não aplicável,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,Prestação de serviços,,30 dias,Thu Feb 04 2021 12:22:24 GMT+0000 (Western European Standard Time)
172419,3845,,Fri Nov 02 2012 00:00:00 GMT+0000 (Western European Standard Time),Wed Oct 20 2010 00:00:00 GMT+0100 (Western European Summer Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,5 dias,Thu Feb 04 2021 12:20:43 GMT+0000 (Western European Standard Time)
178977,14980.42,,Fri Nov 02 2012 00:00:00 GMT+0000 (Western European Standard Time),Fri Sep 10 2010 00:00:00 GMT+0100 (Western European Summer Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,30 dias,Thu Feb 04 2021 12:31:05 GMT+0000 (Western European Standard Time)
169194,19996.43,,Fri Nov 02 2012 00:00:00 GMT+0000 (Western European Standard Time),Sun Jan 09 2011 00:00:00 GMT+0000 (Western European Standard Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,45 dias,Thu Feb 04 2021 12:15:25 GMT+0000 (Western European Standard Time)
179544,4540,,Fri Nov 02 2012 00:00:00 GMT+0000 (Western European Standard Time),Fri Oct 15 2010 00:00:00 GMT+0100 (Western European Summer Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,30 dias,Thu Feb 04 2021 12:31:50 GMT+0000 (Western European Standard Time)
196345,0,46159.58,Fri Nov 02 2012 00:00:00 GMT+0000 (Western European Standard Time),Sat Oct 09 2010 00:00:00 GMT+0100 (Western European Summer Time),09100000-0, Combustíveis,Não aplicável,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Faro, Portimão,Estabelecer as condições jurídicas, técnicas e económicas para aquisição de combustíveis rodoviários, em postos de abastecimento públicos, em todo o território nacional, designadamente, gasolinas e gasóleo,Cumprimento integral do contrato,365 dias,Thu Feb 04 2021 12:49:41 GMT+0000 (Western European Standard Time)
179543,12002.44,,Fri Nov 02 2012 00:00:00 GMT+0000 (Western European Standard Time),Sat Nov 13 2010 00:00:00 GMT+0000 (Western European Standard Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,45 dias,Thu Feb 04 2021 12:31:50 GMT+0000 (Western European Standard Time)
182591,10940.8,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Wed Oct 06 2010 00:00:00 GMT+0100 (Western European Summer Time),45300000-0, Instalações em edifícios,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,15 dias,Thu Feb 04 2021 12:35:50 GMT+0000 (Western European Standard Time)
179545,14925.4,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Thu Sep 16 2010 00:00:00 GMT+0100 (Western European Summer Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,30 dias,Thu Feb 04 2021 12:31:50 GMT+0000 (Western European Standard Time)
185165,3420,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Wed Oct 20 2010 00:00:00 GMT+0100 (Western European Summer Time),45400000-1, Obras de acabamento de edifícios,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Cascais,empreitada de obras publicas,,10 dias,Thu Feb 04 2021 12:38:12 GMT+0000 (Western European Standard Time)
198569,1086,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Sat Nov 13 2010 00:00:00 GMT+0000 (Western European Standard Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras públicas,,5 dias,Thu Feb 04 2021 12:51:50 GMT+0000 (Western European Standard Time)
180879,14777.35,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Thu Sep 16 2010 00:00:00 GMT+0100 (Western European Summer Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras públicas,,15 dias,Thu Feb 04 2021 12:33:39 GMT+0000 (Western European Standard Time)
183640,6465,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Fri Sep 24 2010 00:00:00 GMT+0100 (Western European Summer Time),45300000-0, Instalações em edifícios,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,28 dias,Thu Feb 04 2021 12:36:54 GMT+0000 (Western European Standard Time)
185170,13690,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Fri Oct 15 2010 00:00:00 GMT+0100 (Western European Summer Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,30 dias,Thu Feb 04 2021 12:38:12 GMT+0000 (Western European Standard Time)
185168,8958.26,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Mon Jan 17 2011 00:00:00 GMT+0000 (Western European Standard Time),45300000-0, Instalações em edifícios,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,15 dias,Thu Feb 04 2021 12:38:12 GMT+0000 (Western European Standard Time)
185747,24459.68,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Fri Jan 28 2011 00:00:00 GMT+0000 (Western European Standard Time),45317000-2, Outras obras de instalação eléctrica,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,30 dias,Thu Feb 04 2021 12:38:54 GMT+0000 (Western European Standard Time)
179993,5976,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Sat Sep 18 2010 00:00:00 GMT+0100 (Western European Summer Time),45453100-8, Obras de recuperação,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,30 dias,Thu Feb 04 2021 12:32:36 GMT+0000 (Western European Standard Time)
179994,11966,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Wed Dec 29 2010 00:00:00 GMT+0000 (Western European Standard Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,30 dias,Thu Feb 04 2021 12:32:36 GMT+0000 (Western European Standard Time)
186228,2180,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Wed Oct 20 2010 00:00:00 GMT+0100 (Western European Summer Time),45450000-6, Outras obras de acabamento de edifícios,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,10 dias,Thu Feb 04 2021 12:39:20 GMT+0000 (Western European Standard Time)
179999,2764.5,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Sat Oct 16 2010 00:00:00 GMT+0100 (Western European Summer Time),50116100-2, Serviços de reparação de sistemas eléctricos,Não aplicável,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal,Prestação de serviços,,10 dias,Thu Feb 04 2021 12:32:36 GMT+0000 (Western European Standard Time)
179998,2619.1,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Fri Oct 01 2010 00:00:00 GMT+0100 (Western European Summer Time),50116100-2, Serviços de reparação de sistemas eléctricos,Não aplicável,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,Prestação de serviços,,5 dias,Thu Feb 04 2021 12:32:36 GMT+0000 (Western European Standard Time)
179996,19152.26,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Thu Nov 11 2010 00:00:00 GMT+0000 (Western European Standard Time),45310000-3, Obras de instalação eléctrica,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Cascais,empreitada de obras publicas,,10 dias,Thu Feb 04 2021 12:32:36 GMT+0000 (Western European Standard Time)
179997,5830,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Sat Sep 18 2010 00:00:00 GMT+0100 (Western European Summer Time),71000000-8, Serviços de arquitectura, construção, engenharia e inspecção,Não aplicável,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,Prestação de serviços,,75 dias,Thu Feb 04 2021 12:32:36 GMT+0000 (Western European Standard Time)
179995,3895,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Fri Jan 21 2011 00:00:00 GMT+0000 (Western European Standard Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Lisboa, Lisboa,empreitada de obras publicas,,20 dias,Thu Feb 04 2021 12:32:36 GMT+0000 (Western European Standard Time)
228913,37000,,Thu Nov 01 2012 00:00:00 GMT+0000 (Western European Standard Time),Wed Jul 27 2011 00:00:00 GMT+0100 (Western European Summer Time),71221000-3, Serviços de arquitectura para edifícios,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Castelo Branco, Covilhã,Contrato de aquisição de serviços do projecto do quartel da GNR para o sub-agrupamento táctico de busca, resgate e montanha, da Serra da Estrela,,60 dias,Thu Feb 04 2021 13:17:21 GMT+0000 (Western European Standard Time)
